Date,Close,AdjClose,RSI14
2022-08-26,58500.0000,49572.6719,38.4993
2022-08-29,56500.0000,47877.8789,32.1016
2022-08-30,57000.0000,48301.5820,35.0093
2022-08-31,56800.0000,48132.0977,34.3752
2022-09-01,55600.0000,47115.2227,30.7735
2022-09-02,56000.0000,47454.1797,33.2828
2022-09-05,56100.0000,47538.9180,33.9276
2022-09-06,56000.0000,47454.1797,33.5782
2022-09-07,53800.0000,45589.9102,26.9908
2022-09-08,54400.0000,46098.3516,30.9684
2022-09-13,56500.0000,47877.8789,42.7288
2022-09-14,55000.0000,46606.7852,37.7781
2022-09-15,55100.0000,46691.5273,38.2914
2022-09-16,55700.0000,47199.9648,41.4144
2022-09-19,55100.0000,46691.5273,39.2739
2022-09-20,55900.0000,47369.4414,43.4693
2022-09-21,55100.0000,46691.5273,40.4591
2022-09-22,53900.0000,45674.6523,36.3885
2022-09-23,52900.0000,44827.2539,33.3750
2022-09-26,50200.0000,42539.2852,26.8981
2022-09-27,49850.0000,42242.6953,26.1886
2022-09-28,49050.0000,41564.7773,24.5919
2022-09-29,48200.0000,40844.4922,22.9881
2022-09-30,47500.0000,40251.3125,21.7313
2022-10-04,47900.0000,40590.2734,24.2790
2022-10-05,48100.0000,40759.7539,25.5833
2022-10-06,48550.0000,41141.0820,28.5649
2022-10-07,49000.0000,41522.4062,31.5197
2022-10-11,46950.0000,39785.2500,26.2025
2022-10-12,48750.0000,41310.5625,36.3549
2022-10-13,48150.0000,40802.1211,34.6440
2022-10-14,50600.0000,42878.2422,45.8501
2022-10-17,50600.0000,42878.2422,45.8501
2022-10-18,51400.0000,43556.1562,49.1518
2022-10-19,51100.0000,43301.9414,47.9706
2022-10-20,47850.0000,40547.9023,37.4661
2022-10-21,48150.0000,40802.1211,38.7983
2022-10-24,49000.0000,41522.4062,42.5340
2022-10-25,47200.0000,39997.0938,37.3367
2022-10-26,46800.0000,39658.1406,36.2759
2022-10-27,49600.0000,42030.8477,47.5167
2022-10-28,50000.0000,42369.8047,48.9034
2022-10-31,49550.0000,41988.4805,47.3866
2022-11-01,49700.0000,42115.5820,47.9659
2022-11-02,50400.0000,42708.7656,50.6946
2022-11-03,49700.0000,42115.5820,47.9847
2022-11-04,51200.0000,43386.6797,53.6965
2022-11-07,53000.0000,44911.9922,59.4508
2022-11-08,53200.0000,45081.4727,60.0450
2022-11-09,53800.0000,45589.9102,61.8509
2022-11-10,54000.0000,45759.3828,62.4600
2022-11-11,57200.0000,48471.0586,70.5594
2022-11-14,57000.0000,48301.5820,69.5495
2022-11-15,57100.0000,48386.3164,69.7824
2022-11-16,56800.0000,48132.0977,68.0996
2022-11-17,55200.0000,46776.2656,59.8148
2022-11-18,55600.0000,47115.2227,61.0893
2022-11-21,55900.0000,47369.4414,62.0611
2022-11-22,56400.0000,47793.1406,63.6889
2022-11-23,56400.0000,47793.1406,63.6889
2022-11-24,57500.0000,48725.2734,67.2717
2022-11-25,57300.0000,48555.7930,65.9967
2022-11-28,56500.0000,47877.8789,61.0149
2022-11-29,57200.0000,48471.0586,63.6038
2022-11-30,57700.0000,48894.7578,65.3726
2022-12-01,59000.0000,49996.3672,69.5202
2022-12-02,57900.0000,49064.2344,62.6790
2022-12-05,57600.0000,48810.0156,60.9183
2022-12-06,57600.0000,48810.0156,60.9183
2022-12-07,57300.0000,48555.7930,58.9963
2022-12-08,57100.0000,48386.3164,57.6895
2022-12-09,58500.0000,49572.6719,63.7435
2022-12-12,58000.0000,49148.9727,60.4185
